Vehicle Model,Battery Capacity (kWh),Charging Station Location,Energy Consumed (kWh),Charging Rate (kW),Charging Time Difference (minutes),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Energy per 100 km (kWh/100 km),Charging Cost (USD),Long Session
Tesla Model 3,85.93941745,New York,51.19988656,21.90440942,183,Afternoon,Saturday,78.22071054,100,32.4751124,13.14948506,2,Level 2,Commuter,157.6588433,12.79997164,Long Session
Chevy Bolt,85.77526857,Los Angeles,87.07551471,38.36546628,176,Morning,Tuesday,46.00869349,100,105.0578998,-5.359915634,3,Level 2,Casual Driver,82.88335751,21.76887868,Normal
BMW i3,53.87714176,Los Angeles,20.89050552,25.98479356,82,Evening,Tuesday,100.9204425,100,123.8822488,21.16235436,8,Level 1,Long-Distance Traveler,16.86319527,2.715765718,Normal
Tesla Model 3,79.01372538,Chicago,12.56667811,1.47847603,144,Evening,Sunday,32.37028243,48.27470669,111.8175502,20.39635671,4,Level 1,Casual Driver,11.2385561,1.633668154,Long Session
BMW i3,59.21403784,Los Angeles,15.81365774,22.35798452,172,Night,Tuesday,62.73988712,89.44581415,331.6027407,-17.02060737,7,Level 1,Long-Distance Traveler,4.768856164,2.055775506,Long Session
Tesla Model 3,86.30179952,Houston,59.13470852,37.18945751,103,Evening,Saturday,40.02676148,100,289.5467599,-11.1567434,6,DC Fast Charger,Casual Driver,20.42319815,23.65388341,Normal
Hyundai Kona,79.99357296,Houston,24.34700114,24.45075101,211,Evening,Saturday,20.00630677,50.44250338,214.7711009,10.50402759,5,Level 2,Commuter,11.33625569,6.086750285,Normal
Nissan Leaf,52.95837375,Houston,10.05877017,42.81160668,203,Night,Saturday,64.78364816,83.7773775,40.13360491,30.40011079,5,DC Fast Charger,Long-Distance Traveler,25.06321124,4.02350807,Normal
Nissan Leaf,65.92235525,Chicago,51.95863815,40.76682003,202,Afternoon,Wednesday,40.21699377,100,78.53691313,13.70746813,3,DC Fast Charger,Casual Driver,66.15823831,20.78345526,Long Session
BMW i3,62.88296871,Houston,42.83544363,20.1143746,119,Evening,Tuesday,38.94179641,100,211.5615814,12.65097362,4,DC Fast Charger,Long-Distance Traveler,20.24726954,17.13417745,Long Session
Hyundai Kona,54.59597623,San Francisco,46.40586239,21.60298535,32,Night,Friday,61.10348482,100,58.88650248,52.07047063,1,Level 2,Casual Driver,78.80560135,11.6014656,Normal
Tesla Model 3,86.1305333,San Francisco,24.99481705,21.26483029,177,Evening,Thursday,28.34836678,57.3680606,122.4785602,-10.91364436,9,Level 1,Casual Driver,20.40750397,3.249326216,Long Session
Tesla Model 3,77.86752758,Chicago,57.18318129,7.227924856,158,Night,Tuesday,39.57770438,100,55.53034287,14.37497205,4,Level 2,Long-Distance Traveler,102.97646,14.29579532,Long Session
Chevy Bolt,85.23720036,New York,41.56023933,11.8880755,155,Morning,Wednesday,80.13423015,100,167.2293761,19.55446685,5,Level 2,Casual Driver,24.85223607,10.39005983,Long Session
BMW i3,57.21379265,Chicago,31.33628478,29.40948538,177,Morning,Friday,105.6700615,100,82.96120879,-6.339286626,3,DC Fast Charger,Long-Distance Traveler,37.77221335,12.53451391,Long Session
BMW i3,80.3767704,San Francisco,23.58878063,21.45958727,83,Afternoon,Wednesday,49.70106504,79.04882374,162.3444674,13.89725477,6,DC Fast Charger,Long-Distance Traveler,14.53007978,9.435512251,Normal
BMW i3,74.0034623,Chicago,63.13300613,25.48662819,36,Morning,Monday,29.55862422,100,94.77714781,44.93410701,4,DC Fast Charger,Commuter,66.61205532,25.25320245,Normal
Tesla Model 3,87.86452666,Houston,67.31567408,38.30598976,152,Night,Sunday,33.09702148,100,160.9839973,22.52952347,4,Level 1,Commuter,41.81513393,8.75103763,Long Session
BMW i3,40.33231485,San Francisco,33.7594756,26.2877244,90,Afternoon,Wednesday,49.02552435,100,188.3891447,27.54422837,6,Level 2,Long-Distance Traveler,17.92007477,8.4398689,Normal
Chevy Bolt,60.64847206,Chicago,42.44726555,29.09900809,130,Afternoon,Tuesday,64.6602456,100,306.1357851,-1.685833036,3,Level 1,Long-Distance Traveler,13.8655027,5.518144521,Normal
Tesla Model 3,50.00244725,Los Angeles,53.59782265,23.80445147,187,Morning,Tuesday,56.84596511,100,61.81027134,-3.784540224,4,Level 1,Long-Distance Traveler,86.71345633,6.967716944,Normal
Chevy Bolt,80.76953182,San Francisco,51.52006264,37.685251,198,Evening,Sunday,48.68414355,100,177.0569872,36.49606258,4,Level 2,Commuter,29.09801158,12.88001566,Normal
Chevy Bolt,84.27449269,Chicago,28.52768115,29.06997788,88,Morning,Friday,55.35068749,89.20159568,176.1614127,8.587050626,2,Level 2,Commuter,16.19405788,7.131920287,Normal
BMW i3,65.43306771,Houston,84.1560529,24.01841645,166,Evening,Thursday,65.27517776,100,129.1177593,9.532900867,2,Level 2,Casual Driver,65.17775199,21.03901322,Long Session
BMW i3,97.98128619,New York,31.93854528,11.62497919,134,Evening,Tuesday,70.88891314,100,171.3088884,11.01332527,2,Level 2,Commuter,18.6438343,7.98463632,Long Session
Tesla Model 3,91.03279195,Los Angeles,41.31834217,20.27980839,286,Morning,Saturday,64.03492884,100,154.5924897,30.63229585,5,Level 1,Commuter,26.72726356,5.371384482,Long Session
Hyundai Kona,29.22522414,New York,17.31488994,40.28545864,151,Afternoon,Tuesday,71.6947355,100,290.145002,11.3695258,0,Level 2,Long-Distance Traveler,5.967667829,4.328722486,Normal
Tesla Model 3,67.45517761,Chicago,55.74743485,26.1739055,102,Evening,Monday,49.56332771,100,108.449669,7.730499475,3,Level 1,Commuter,51.40396958,7.24716653,Normal
Nissan Leaf,51.19698066,San Francisco,12.44753374,7.810790004,115,Night,Monday,73.4814288,97.79445192,205.7246161,9.038436858,5,DC Fast Charger,Casual Driver,6.050580616,4.979013497,Normal
Tesla Model 3,63.72218697,New York,34.13611277,9.298080608,122,Afternoon,Saturday,27.22429125,80.79450658,233.3346988,30.54745924,3,Level 1,Long-Distance Traveler,14.629677,4.437694661,Long Session
BMW i3,32.55481301,San Francisco,24.68364196,38.39249625,48,Afternoon,Sunday,28.9832086,100,165.2919793,38.36679436,5,DC Fast Charger,Casual Driver,14.93335736,9.873456784,Normal
BMW i3,100.7741224,Los Angeles,55.5069357,26.76456083,94,Night,Monday,68.77349599,100,192.0113666,29.94661664,6,Level 2,Commuter,28.90815096,13.87673392,Normal
Nissan Leaf,61.13116908,Houston,51.11805519,22.07249769,37,Night,Sunday,75.08580131,100,278.2243779,15.39014599,2,Level 2,Commuter,18.37296055,12.7795138,Normal
BMW i3,101.0648331,Los Angeles,5.936562882,5.946231661,170,Morning,Monday,37.00582445,42.87983888,62.40148849,14.00698818,4,Level 1,Commuter,9.513495632,0.771753175,Long Session
Tesla Model 3,49.22830554,Chicago,22.98613043,57.81631175,119,Evening,Monday,25.00966445,71.70257859,230.7922922,14.08597199,3,DC Fast Charger,Commuter,9.959661224,9.194452174,Normal
Chevy Bolt,41.29413608,Chicago,51.67466555,27.80431737,157,Afternoon,Wednesday,62.43791466,100,143.1547828,1.438233078,3,Level 2,Commuter,36.09705839,12.91866639,Long Session
BMW i3,73.04091361,Chicago,57.84629501,24.92286186,257,Morning,Wednesday,42.80974978,100,14.05257855,19.57710545,6,Level 1,Casual Driver,411.6418549,7.520018351,Normal
Nissan Leaf,57.04717624,New York,11.46841359,31.35999102,56,Morning,Friday,86.23709449,100,159.2120221,25.31696058,5,DC Fast Charger,Commuter,7.203233424,4.587365438,Normal
Nissan Leaf,52.09532487,New York,57.87274251,28.22491761,161,Evening,Tuesday,38.44946683,100,31.70653211,14.0199987,3,Level 1,Commuter,182.5262451,7.523456526,Normal
Nissan Leaf,80.11207998,San Francisco,27.78132082,23.50250319,145,Morning,Saturday,81.99579667,100,210.9627996,28.16580187,1,Level 2,Long-Distance Traveler,13.16882449,6.945330204,Long Session
Nissan Leaf,42.44231884,Los Angeles,41.32933792,43.51216249,85,Afternoon,Monday,46.18918762,100,134.7623197,13.81477747,5,Level 1,Long-Distance Traveler,30.66831888,5.372813929,Normal
Hyundai Kona,68.61781329,Houston,58.7535364,41.130859,152,Evening,Wednesday,6.837866196,92.46218674,22.40544442,-14.20228296,1,DC Fast Charger,Casual Driver,262.2288373,23.50141456,Long Session
Chevy Bolt,63.56296453,San Francisco,32.19234856,26.96599583,100,Evening,Wednesday,21.93961119,72.58600378,45.819838,24.07472057,2,Level 1,Long-Distance Traveler,70.25853857,4.185005312,Normal
Chevy Bolt,69.76154357,San Francisco,27.84929976,22.55189909,166,Evening,Wednesday,74.70714044,100,163.1648669,40.22429429,6,Level 2,Commuter,17.06819629,6.96232494,Normal
Hyundai Kona,89.51306272,Los Angeles,42.93953885,18.97162537,65,Afternoon,Friday,48.01853575,95.98867279,101.3320846,17.44771938,6,Level 2,Long-Distance Traveler,42.37506711,10.73488471,Normal
Hyundai Kona,87.56067794,Chicago,53.13549305,47.20879539,100,Night,Thursday,50.19072959,100,167.2190685,14.93508105,6,DC Fast Charger,Long-Distance Traveler,31.77597718,21.25419722,Normal
Chevy Bolt,74.62612789,San Francisco,35.7611018,26.09664243,209,Morning,Monday,59.46590014,100,174.7764233,29.19529443,3,Level 2,Commuter,20.46105597,8.940275449,Long Session
Hyundai Kona,45.01056959,Houston,42.38883535,27.72949389,149,Morning,Tuesday,93.06667349,100,61.51479268,6.373132266,4,DC Fast Charger,Casual Driver,68.90836091,16.95553414,Normal
Chevy Bolt,83.23179759,Los Angeles,82.64433413,21.2252151,11,Afternoon,Sunday,53.0394533,100,62.13712757,4.475329467,0,DC Fast Charger,Long-Distance Traveler,133.0031454,33.05773365,Normal
Chevy Bolt,54.51657525,Chicago,38.11807662,23.9874221,124,Morning,Monday,24.80508358,94.72524355,329.5099575,-20.7686621,1,Level 2,Casual Driver,11.56811069,9.529519155,Normal
Nissan Leaf,75.21929863,Los Angeles,41.60407736,18.63397544,43,Evening,Sunday,26.51470965,81.82508627,13.53284184,11.51310218,2,Level 1,Long-Distance Traveler,307.4304559,5.408530057,Normal
BMW i3,81.03057996,Houston,45.08041901,42.52791939,89,Night,Saturday,13.55626394,69.19009875,86.97592239,47.00343856,3,DC Fast Charger,Long-Distance Traveler,51.83091799,18.0321676,Normal
Chevy Bolt,73.16428453,Los Angeles,71.86473162,18.97830345,239,Evening,Wednesday,13.48905468,100,87.02047553,25.19781645,5,DC Fast Charger,Casual Driver,82.58370364,28.74589265,Long Session
Hyundai Kona,64.66233897,New York,64.26847168,10.75814752,109,Evening,Wednesday,47.22701704,100,81.62600875,36.37756466,1,Level 1,Commuter,78.73528629,8.354901318,Long Session
Nissan Leaf,74.4485257,New York,81.51638687,24.45675053,29,Evening,Friday,59.70757396,100,216.8267256,28.96689116,5,Level 2,Commuter,37.59517496,20.37909672,Normal
Chevy Bolt,74.19461761,Los Angeles,39.37525902,2.079577663,139,Afternoon,Tuesday,53.49299312,100,280.9312918,29.79642522,4,Level 1,Long-Distance Traveler,14.01597478,5.118783672,Long Session
Hyundai Kona,77.47814995,San Francisco,47.98196423,22.15808841,59,Evening,Friday,59.93637286,100,273.162848,-11.15440608,4,DC Fast Charger,Casual Driver,17.56533313,19.19278569,Normal
Nissan Leaf,77.75749062,San Francisco,35.04259272,11.87809546,163,Evening,Saturday,34.26295106,79.32946806,269.4586373,3.391044244,6,Level 2,Casual Driver,13.00481331,8.760648181,Long Session
Hyundai Kona,48.67779274,Houston,31.48281751,25.13251561,156,Night,Friday,51.7886363,100,99.14405452,24.15166297,1,Level 1,Long-Distance Traveler,31.75461974,4.092766276,Normal
Tesla Model 3,88.92328957,San Francisco,28.2699594,40.60305584,90,Morning,Monday,34.06334796,65.85474878,160.3818848,30.42998854,7,Level 1,Casual Driver,17.62665368,3.675094723,Normal
Hyundai Kona,100.8959127,New York,25.38758094,30.84807038,124,Evening,Sunday,57.92090864,83.08305868,75.82974435,40.23631504,2,DC Fast Charger,Long-Distance Traveler,33.47971321,10.15503237,Normal
Chevy Bolt,62.23270122,New York,41.77883131,20.92399359,115,Evening,Wednesday,68.34654972,100,146.0194502,20.11760911,8,DC Fast Charger,Long-Distance Traveler,28.61182619,16.71153252,Long Session
Nissan Leaf,42.89102498,San Francisco,47.54053994,27.11707234,50,Morning,Wednesday,60.03744647,100,209.5502449,12.99777292,4,Level 1,Commuter,22.68694077,6.180270193,Normal
Hyundai Kona,70.93652794,San Francisco,47.57618831,50.08961814,46,Night,Friday,60.54083793,100,108.2585057,9.265889816,3,Level 2,Casual Driver,43.94683633,11.89404708,Normal
BMW i3,94.03122088,Houston,63.59990081,19.58183986,85,Night,Tuesday,54.79431805,100,13.5034413,15.98661539,4,Level 1,Commuter,470.9903157,8.267987106,Normal
Hyundai Kona,94.80501343,Chicago,24.18055528,26.96998802,189,Night,Wednesday,40.05749984,65.56306585,153.1953531,32.48792875,0,Level 2,Long-Distance Traveler,15.78413104,6.04513882,Long Session
Chevy Bolt,67.69566366,San Francisco,7.912560067,51.21840212,88,Afternoon,Thursday,94.37183148,100,180.7556544,9.681823737,3,DC Fast Charger,Commuter,4.377489653,3.165024027,Normal
Tesla Model 3,83.20636928,Houston,30.18118958,38.97675816,101,Evening,Thursday,24.87282951,61.14552094,146.3204268,-3.795634541,1,Level 1,Long-Distance Traveler,20.62677798,3.923554645,Long Session
Tesla Model 3,99.93821013,New York,65.35834952,1.842525471,171,Afternoon,Sunday,11.63692139,77.03568072,184.0792797,0.754135358,6,DC Fast Charger,Long-Distance Traveler,35.50554393,26.14333981,Long Session
BMW i3,83.32784422,New York,41.86393776,7.607323508,215,Night,Saturday,45.65513674,95.89517132,99.33135555,35.60098718,1,Level 2,Commuter,42.14574292,10.46598444,Long Session
Hyundai Kona,69.66043586,Chicago,31.35527715,6.538878767,207,Evening,Saturday,54.19804393,99.2096445,176.3644076,2.50954458,3,Level 2,Casual Driver,17.77868765,7.838819287,Long Session
Hyundai Kona,77.48707614,Houston,48.55866283,18.10576273,182,Night,Tuesday,72.55458156,100,159.127748,38.37733705,5,Level 1,Casual Driver,30.51552192,6.312626168,Long Session
BMW i3,90.71537614,San Francisco,42.00865649,43.78464721,34,Evening,Tuesday,41.80347412,88.11167266,75.39927723,27.96836015,3,Level 2,Casual Driver,55.7149326,10.50216412,Normal
Nissan Leaf,84.12018994,Los Angeles,103.7712849,25.75675774,38,Night,Sunday,39.46538952,100,182.6221144,-2.430054001,2,Level 1,Long-Distance Traveler,56.82295663,13.49026703,Normal
Hyundai Kona,91.54711559,Houston,12.1319884,41.01046091,140,Afternoon,Friday,61.86534164,75.11752149,43.39683098,24.83108782,7,DC Fast Charger,Casual Driver,27.95593164,4.852795362,Normal
Hyundai Kona,76.93815287,New York,43.14937133,38.73229121,109,Afternoon,Friday,51.57039507,100,94.54594817,16.44008528,4,Level 2,Casual Driver,45.63851986,10.78734283,Long Session
Nissan Leaf,70.05643598,Houston,57.59994112,38.76000297,187,Afternoon,Sunday,57.60113803,100,94.61772183,25.20601918,3,DC Fast Charger,Casual Driver,60.87648276,23.03997645,Normal
Nissan Leaf,58.83755509,San Francisco,46.46577331,29.09642298,131,Night,Friday,68.51240183,100,151.3899287,7.651844742,3,Level 1,Casual Driver,30.69277707,6.040550531,Normal
Nissan Leaf,62.73847151,San Francisco,52.96373286,7.417857169,79,Evening,Saturday,50.45161049,100,178.0362968,4.58543195,3,DC Fast Charger,Commuter,29.74883988,21.18549314,Normal
Tesla Model 3,57.43127427,Los Angeles,35.01583304,31.24562368,116,Night,Saturday,47.15593687,100,164.1730708,24.40303546,6,DC Fast Charger,Long-Distance Traveler,21.32860942,14.00633322,Normal
BMW i3,51.53461493,Chicago,56.69721386,31.09927693,17,Morning,Monday,27.51795545,100,355.8782184,6.833464231,5,DC Fast Charger,Commuter,15.93163361,22.67888554,Normal
Nissan Leaf,93.42166204,New York,26.95853889,37.62450512,185,Evening,Tuesday,17.53832153,46.39516083,156.7844834,24.00436314,3,DC Fast Charger,Casual Driver,17.19464727,10.78341556,Normal
Chevy Bolt,82.99130355,San Francisco,71.71260036,4.368802179,150,Evening,Saturday,68.77513037,100,248.7999128,44.92962685,7,DC Fast Charger,Commuter,28.82340253,28.68504014,Long Session
Nissan Leaf,58.57462034,San Francisco,17.62074281,21.98864946,206,Night,Monday,71.71212973,100,20.49837839,47.63715305,3,Level 1,Commuter,85.96164278,2.290696565,Normal
Nissan Leaf,60.47453545,Chicago,57.57499642,26.46917669,33,Evening,Sunday,43.00640697,100,10.83199353,-24.80999578,3,Level 1,Long-Distance Traveler,531.5272414,7.484749534,Normal
Chevy Bolt,75.43077741,Chicago,25.46404846,21.66613102,156,Morning,Thursday,39.51400783,73.27217569,65.11509767,27.67818408,3,Level 2,Commuter,39.10621249,6.366012115,Long Session
Hyundai Kona,69.36788464,Chicago,63.72442338,29.57930054,35,Evening,Wednesday,33.44751179,100,98.03521758,28.75990921,6,Level 1,Long-Distance Traveler,65.00156266,8.28417504,Normal
Chevy Bolt,53.14933347,Chicago,31.29670826,31.5138156,200,Afternoon,Saturday,32.23125491,91.11573421,241.9708971,8.72147309,4,DC Fast Charger,Long-Distance Traveler,12.93407953,12.51868331,Normal
Hyundai Kona,85.70245872,New York,31.55022806,5.849858857,135,Evening,Wednesday,28.98115378,65.7948328,215.7741884,15.04332524,5,DC Fast Charger,Casual Driver,14.62187312,12.62009122,Long Session
Chevy Bolt,63.04589796,San Francisco,16.92093616,38.01666744,165,Afternoon,Saturday,41.86312489,68.7022004,164.8908162,0.264212064,6,Level 2,Long-Distance Traveler,10.26190333,4.23023404,Normal
Tesla Model 3,77.95618855,Chicago,49.62496349,41.42019557,68,Morning,Sunday,76.73883516,100,327.5107074,-6.552170226,3,DC Fast Charger,Commuter,15.15216522,19.8499854,Normal
BMW i3,78.21926961,San Francisco,33.09453398,18.92443679,109,Morning,Sunday,89.38934342,100,141.8287569,32.03501893,5,Level 1,Casual Driver,23.33414937,4.302289418,Long Session
Chevy Bolt,74.68365194,Chicago,62.66220733,24.31368502,13,Evening,Sunday,62.20153718,100,79.67899629,14.4265466,3,DC Fast Charger,Commuter,78.64331913,25.06488293,Normal
Tesla Model 3,70.91228268,Chicago,92.19573691,1.732564383,134,Night,Sunday,49.0006357,100,188.9212841,32.05395264,5,Level 1,Commuter,48.80113817,11.9854458,Long Session
Tesla Model 3,84.42451692,New York,8.021173025,21.17539256,113,Morning,Monday,4.091441354,13.59244097,95.50190445,37.86850833,0,Level 2,Commuter,8.398966566,2.005293256,Long Session
BMW i3,83.9498993,New York,71.68734419,28.99951156,160,Night,Saturday,90.72522326,100,224.9375946,13.34400845,4,Level 2,Casual Driver,31.86988121,17.92183605,Long Session
BMW i3,106.3239707,Houston,14.51204057,22.30521047,131,Morning,Saturday,63.36105836,77.00994719,57.69450502,17.41731543,6,DC Fast Charger,Long-Distance Traveler,25.15324564,5.804816228,Normal
Chevy Bolt,79.90669133,San Francisco,45.47414816,28.61454587,144,Morning,Tuesday,113.2754384,100,208.1688129,6.346833871,2,Level 1,Commuter,21.84484194,5.911639261,Long Session
Nissan Leaf,74.03160475,Houston,24.09215007,29.20295428,166,Night,Friday,55.01296769,87.55602839,118.690472,16.62058121,2,DC Fast Charger,Casual Driver,20.29830167,9.636860027,Long Session
BMW i3,72.62362124,Los Angeles,27.50463111,20.97465341,94,Afternoon,Monday,42.63490497,80.50774942,190.3471668,22.59812922,2,Level 2,Long-Distance Traveler,14.4497192,6.876157777,Normal
Tesla Model 3,53.6580643,Houston,48.76512084,23.21446408,170,Evening,Tuesday,7.076003402,97.95725578,136.4616268,15.42634938,5,Level 2,Commuter,35.73540928,12.19128021,Normal
Hyundai Kona,56.07912288,Los Angeles,57.07463975,44.41277639,134,Morning,Friday,63.82576768,100,53.33613221,40.46489688,5,Level 2,Commuter,107.0093338,14.26865994,Normal
Chevy Bolt,87.03824109,Houston,15.72757777,21.72276953,108,Morning,Monday,57.49262789,75.56236089,130.1798821,10.66575136,3,DC Fast Charger,Commuter,12.08141958,6.291031108,Long Session
Hyundai Kona,73.74666063,San Francisco,32.52215502,26.65157364,154,Evening,Saturday,55.84719773,99.94703188,179.6241961,16.04778629,1,DC Fast Charger,Long-Distance Traveler,18.1056649,13.00886201,Long Session
Chevy Bolt,94.79355732,Houston,13.60086061,23.07059391,203,Evening,Friday,50.48339222,64.83126669,35.44859727,23.63019911,7,DC Fast Charger,Long-Distance Traveler,38.36783867,5.440344245,Long Session
Chevy Bolt,88.1886922,Chicago,42.08886503,27.84914945,30,Evening,Tuesday,35.92665649,83.65257688,137.2654344,17.69117689,6,Level 2,Commuter,30.66239161,10.52221626,Normal
Nissan Leaf,68.70256795,Houston,14.988308,2.22480267,220,Morning,Tuesday,12.03919259,33.85541932,92.59495356,15.83710769,2,Level 1,Long-Distance Traveler,16.1869599,1.94848004,Long Session
Nissan Leaf,40.44816439,Los Angeles,32.39823458,38.83128184,122,Evening,Monday,21.38641403,100,11.16565333,29.26635817,2,Level 1,Long-Distance Traveler,290.1597749,4.211770495,Normal
Nissan Leaf,94.22894754,New York,32.53381713,26.452379,50,Morning,Tuesday,19.46430206,53.99065302,132.486255,51.83072376,5,Level 2,Commuter,24.55637162,8.133454282,Normal
Chevy Bolt,57.40589207,Chicago,57.38237147,11.13481316,36,Night,Tuesday,46.70197339,100,152.639579,13.24008962,6,DC Fast Charger,Long-Distance Traveler,37.5933764,22.95294859,Normal
Chevy Bolt,54.36149486,Los Angeles,6.653246208,39.63058163,105,Morning,Sunday,33.52100461,45.75989949,104.5491687,1.638348046,0,Level 1,Casual Driver,6.363748552,0.864922007,Normal
Tesla Model 3,87.81794119,New York,62.82220853,24.67911547,115,Night,Tuesday,65.83803344,100,188.1728819,48.7490176,5,Level 1,Long-Distance Traveler,33.3853677,8.166887109,Long Session
Tesla Model 3,74.01838967,Chicago,41.38008673,17.45530084,34,Night,Friday,66.41537904,100,145.2315188,14.9970632,6,Level 2,Commuter,28.49249742,10.34502168,Normal
Nissan Leaf,49.24507783,Los Angeles,59.05129397,40.69722879,88,Evening,Saturday,66.1824827,100,268.3007155,21.26244897,2,Level 1,Long-Distance Traveler,22.0093688,7.676668216,Normal
Hyundai Kona,58.14837274,Houston,32.34926594,38.91125219,54,Afternoon,Sunday,54.60657071,100,198.3693167,9.530946764,6,DC Fast Charger,Long-Distance Traveler,16.30759559,12.93970638,Normal
Nissan Leaf,84.04821244,Houston,26.5121853,6.819595689,157,Afternoon,Saturday,77.5347192,100,199.7570542,24.00944266,0,DC Fast Charger,Long-Distance Traveler,13.27221479,10.60487412,Long Session
Hyundai Kona,69.9178783,Chicago,11.24036742,40.33700225,134,Night,Friday,120.1601991,100,231.4247049,19.02444666,4,DC Fast Charger,Long-Distance Traveler,4.857030033,4.496146969,Normal
Hyundai Kona,105.0668652,Houston,22.92566404,37.88695192,175,Morning,Friday,9.1833132,31.00338368,104.7932791,21.79608079,3,DC Fast Charger,Long-Distance Traveler,21.87703662,9.170265615,Long Session
Nissan Leaf,61.26263031,Chicago,34.50516922,20.27973029,164,Night,Wednesday,42.55650612,98.87986189,38.69073843,5.123648676,4,Level 1,Casual Driver,89.18198674,4.485671998,Long Session
Tesla Model 3,86.88775765,New York,47.9908913,39.16260694,168,Night,Thursday,49.69371416,100,137.8339253,10.7985994,6,Level 1,Commuter,34.81790946,6.23881587,Normal
Chevy Bolt,61.43331869,Chicago,46.10785759,25.18200176,233,Morning,Friday,17.95951659,93.01301943,75.66878447,-1.563662942,1,Level 1,Commuter,60.93378916,5.994021486,Normal
Chevy Bolt,73.26336693,Los Angeles,15.61533163,40.46946621,135,Evening,Wednesday,25.3358327,46.64980213,171.0154357,0.767193061,6,Level 1,Commuter,9.130948655,2.029993112,Normal
Nissan Leaf,70.78527732,Houston,34.00317268,47.66439734,113,Evening,Wednesday,69.21542723,100,284.4165691,17.23705774,2,Level 2,Long-Distance Traveler,11.95541202,8.500793169,Normal
BMW i3,94.77000087,Houston,28.40211796,28.17625804,86,Afternoon,Monday,89.45580078,100,56.35496308,-11.74667998,2,Level 2,Long-Distance Traveler,50.39860982,7.10052949,Long Session
Chevy Bolt,45.319764,Chicago,57.84731553,20.79133591,49,Morning,Thursday,7.800437465,100,12.8520372,-3.308502948,5,Level 1,Commuter,450.1023039,7.520151019,Normal
Nissan Leaf,72.49059629,Chicago,23.77073242,28.62771312,134,Evening,Tuesday,21.66070094,54.45217133,57.37668233,28.48961804,0,Level 2,Commuter,41.42925568,5.942683105,Long Session
Nissan Leaf,91.34828857,Los Angeles,39.45862153,29.30416527,154,Night,Tuesday,20.2751926,63.47098987,124.5606611,5.620621945,2,Level 2,Long-Distance Traveler,31.67823709,9.864655384,Long Session
Nissan Leaf,91.77416241,Chicago,7.198693958,22.12750081,93,Afternoon,Tuesday,56.31884063,64.1627629,94.24323467,38.52361232,4,DC Fast Charger,Casual Driver,7.638419864,2.879477583,Normal
Tesla Model 3,56.60155235,Los Angeles,52.48658987,57.63643889,118,Morning,Tuesday,77.66499651,100,67.90214588,10.6648669,5,Level 1,Commuter,77.29739494,6.823256683,Normal
BMW i3,94.59885145,Chicago,7.785528183,21.85121805,181,Night,Tuesday,42.39434466,50.62438981,37.10811036,12.2815576,9,DC Fast Charger,Casual Driver,20.98066463,3.114211273,Normal
BMW i3,61.04807235,San Francisco,89.51595898,45.50178157,188,Morning,Sunday,40.69378664,100,39.19149872,23.09282749,2,Level 2,Commuter,228.4065726,22.37898974,Normal
Chevy Bolt,54.2463375,Los Angeles,62.04584824,5.739054827,165,Afternoon,Sunday,4.864207725,100,260.1998693,15.71568878,0,Level 2,Long-Distance Traveler,23.84545711,15.51146206,Normal
Hyundai Kona,84.92073984,Chicago,9.580590879,24.34533447,101,Afternoon,Tuesday,76.22603128,87.50783464,72.3526962,20.3801789,2,Level 1,Long-Distance Traveler,13.2415119,1.245476814,Normal
Nissan Leaf,56.29851262,San Francisco,37.17981582,42.25406293,94,Night,Saturday,13.74604494,79.78653889,181.237065,9.705867023,1,Level 2,Casual Driver,20.51446585,9.294953956,Normal
BMW i3,123.5511776,Houston,82.73857829,40.59481637,164,Night,Saturday,41.46502503,100,218.1776694,18.89982388,1,Level 2,Casual Driver,37.92256948,20.68464457,Long Session
BMW i3,81.85626556,Los Angeles,49.40120252,42.09833141,182,Afternoon,Saturday,54.70247247,100,229.8763923,25.39905146,5,DC Fast Charger,Long-Distance Traveler,21.49033314,19.76048101,Long Session
Hyundai Kona,71.10327651,San Francisco,31.33401121,3.895040537,205,Evening,Saturday,33.51861115,77.5869196,47.22371549,18.06347213,2,Level 2,Long-Distance Traveler,66.35227848,7.833502803,Long Session
Nissan Leaf,63.81854958,Chicago,49.76246365,28.2490095,81,Night,Friday,39.51082085,100,120.893379,21.57994182,4,DC Fast Charger,Casual Driver,41.16227379,19.90498546,Normal
Hyundai Kona,71.6931268,New York,30.83076664,26.5311722,91,Night,Friday,23.07799011,66.08178701,309.9439215,17.36945207,6,Level 1,Long-Distance Traveler,9.94720803,4.007999664,Normal
Tesla Model 3,81.61343002,Houston,29.33067266,21.42197952,184,Evening,Tuesday,22.45838438,58.39692128,112.0856809,-3.686471761,5,Level 1,Long-Distance Traveler,26.16808179,3.812987446,Long Session
Tesla Model 3,106.1961536,San Francisco,14.5903525,24.0647275,172,Evening,Saturday,47.1814772,60.92053647,232.0371169,-5.426375458,4,Level 1,Long-Distance Traveler,6.287939057,1.896745825,Normal
BMW i3,77.84911427,Los Angeles,20.08948473,27.39504469,111,Evening,Monday,33.50031866,59.30598764,246.320666,13.14181474,7,DC Fast Charger,Casual Driver,8.155825921,8.035793892,Long Session
